Description,Native,Bytes,R-encoding,score
AERIAL TRAMWAY,🚡,\xF0\x9F\x9A\xA1,<ed><a0><bd><ed><ba><a1>,0
AIRPLANE,✈,\xE2\x9C\x88,<e2><9c><88>,0
ALARM CLOCK,⏰,\xE2\x8F\xB0,<e2><8f><b0>,0
ALIEN MONSTER,👾,\xF0\x9F\x91\xBE,<ed><a0><bd><ed><b1><be>,0
AMBULANCE,🚑,\xF0\x9F\x9A\x91,<ed><a0><bd><ed><ba><91>,0
AMERICAN FOOTBALL,🏈,\xF0\x9F\x8F\x88,<ed><a0><bc><ed><bf><88>,0
ANCHOR,⚓,\xE2\x9A\x93,<e2><9a><93>,0
ANGER SYMBOL,💢,\xF0\x9F\x92\xA2,<ed><a0><bd><ed><b2><a2>,0
ANGRY FACE,😠,\xF0\x9F\x98\xA0,<ed><a0><bd><ed><b8><a0>,-9
ANGUISHED FACE,😧,\xF0\x9F\x98\xA7,<ed><a0><bd><ed><b8><a7>,-9
ANT,🐜,\xF0\x9F\x90\x9C,<ed><a0><bd><ed><b0><9c>,0
ANTENNA WITH BARS,📶,\xF0\x9F\x93\xB6,<ed><a0><bd><ed><b3><b6>,0
ANTICLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,🔄,\xF0\x9F\x94\x84,<ed><a0><bd><ed><b4><84>,0
AQUARIUS,♒,\xE2\x99\x92,<e2><99><92>,0
ARIES,♈,\xE2\x99\x88,<e2><99><88>,0
ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS,⤵,\xE2\xA4\xB5,<e2><a4><b5>,0
ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS,⤴,\xE2\xA4\xB4,<e2><a4><b4>,0
ARTICULATED LORRY,🚛,\xF0\x9F\x9A\x9B,<ed><a0><bd><ed><ba><9b>,0
ARTIST PALETTE,🎨,\xF0\x9F\x8E\xA8,<ed><a0><bc><ed><be><a8>,0
ASTONISHED FACE,😲,\xF0\x9F\x98\xB2,<ed><a0><bd><ed><b8><b2>,-9
ATHLETIC SHOE,👟,\xF0\x9F\x91\x9F,<ed><a0><bd><ed><b1><9f>,0
AUBERGINE,🍆,\xF0\x9F\x8D\x86,<ed><a0><bc><ed><bd><86>,0
AUTOMATED TELLER MACHINE,🏧,\xF0\x9F\x8F\xA7,<ed><a0><bc><ed><bf><a7>,0
AUTOMOBILE,🚗,\xF0\x9F\x9A\x97,<ed><a0><bd><ed><ba><97>,0
BABY,👶,\xF0\x9F\x91\xB6,<ed><a0><bd><ed><b1><b6>,9
BABY ANGEL,👼,\xF0\x9F\x91\xBC,<ed><a0><bd><ed><b1><bc>,9
BABY BOTTLE,🍼,\xF0\x9F\x8D\xBC,<ed><a0><bc><ed><bd><bc>,0
BABY CHICK,🐤,\xF0\x9F\x90\xA4,<ed><a0><bd><ed><b0><a4>,0
BABY SYMBOL,🚼,\xF0\x9F\x9A\xBC,<ed><a0><bd><ed><ba><bc>,0
BACK WITH LEFTWARDS ARROW ABOVE,🔙,\xF0\x9F\x94\x99,<ed><a0><bd><ed><b4><99>,0
BACTRIAN CAMEL,🐫,\xF0\x9F\x90\xAB,<ed><a0><bd><ed><b0><ab>,0
BAGGAGE CLAIM,🛄,\xF0\x9F\x9B\x84,<ed><a0><bd><ed><bb><84>,0
BALLOON,🎈,\xF0\x9F\x8E\x88,<ed><a0><bc><ed><be><88>,0
BALLOT BOX WITH CHECK,☑,\xE2\x98\x91,<e2><98><91>,0
BANANA,🍌,\xF0\x9F\x8D\x8C,<ed><a0><bc><ed><bd><8c>,0
BANK,🏦,\xF0\x9F\x8F\xA6,<ed><a0><bc><ed><bf><a6>,0
BANKNOTE WITH DOLLAR SIGN,💵,\xF0\x9F\x92\xB5,<ed><a0><bd><ed><b2><b5>,0
BANKNOTE WITH EURO SIGN,💶,\xF0\x9F\x92\xB6,<ed><a0><bd><ed><b2><b6>,0
BANKNOTE WITH POUND SIGN,💷,\xF0\x9F\x92\xB7,<ed><a0><bd><ed><b2><b7>,0
BANKNOTE WITH YEN SIGN,💴,\xF0\x9F\x92\xB4,<ed><a0><bd><ed><b2><b4>,0
BAR CHART,📊,\xF0\x9F\x93\x8A,<ed><a0><bd><ed><b3><8a>,0
BARBER POLE,💈,\xF0\x9F\x92\x88,<ed><a0><bd><ed><b2><88>,0
BASEBALL,⚾,\xE2\x9A\xBE,<e2><9a><be>,0
BASKETBALL AND HOOP,🏀,\xF0\x9F\x8F\x80,<ed><a0><bc><ed><bf><80>,0
BATH,🛀,\xF0\x9F\x9B\x80,<ed><a0><bd><ed><bb><80>,0
BATHTUB,🛁,\xF0\x9F\x9B\x81,<ed><a0><bd><ed><bb><81>,0
BATTERY,🔋,\xF0\x9F\x94\x8B,<ed><a0><bd><ed><b4><8b>,0
BEAR FACE,🐻,\xF0\x9F\x90\xBB,<ed><a0><bd><ed><b0><bb>,0
BEATING HEART,💓,\xF0\x9F\x92\x93,<ed><a0><bd><ed><b2><93>,9
BEER MUG,🍺,\xF0\x9F\x8D\xBA,<ed><a0><bc><ed><bd><ba>,0
BELL,🔔,\xF0\x9F\x94\x94,<ed><a0><bd><ed><b4><94>,0
BELL WITH CANCELLATION STROKE,🔕,\xF0\x9F\x94\x95,<ed><a0><bd><ed><b4><95>,0
BENTO BOX,🍱,\xF0\x9F\x8D\xB1,<ed><a0><bc><ed><bd><b1>,0
BICYCLE,🚲,\xF0\x9F\x9A\xB2,<ed><a0><bd><ed><ba><b2>,0
BICYCLIST,🚴,\xF0\x9F\x9A\xB4,<ed><a0><bd><ed><ba><b4>,0
BIKINI,👙,\xF0\x9F\x91\x99,<ed><a0><bd><ed><b1><99>,0
BILLIARDS,🎱,\xF0\x9F\x8E\xB1,<ed><a0><bc><ed><be><b1>,0
BIRD,🐦,\xF0\x9F\x90\xA6,<ed><a0><bd><ed><b0><a6>,0
BIRTHDAY CAKE,🎂,\xF0\x9F\x8E\x82,<ed><a0><bc><ed><be><82>,9
BLACK CLUB SUIT,♣,\xE2\x99\xA3,<e2><99><a3>,0
BLACK DIAMOND SUIT,♦,\xE2\x99\xA6,<e2><99><a6>,0
BLACK DOWN-POINTING DOUBLE TRIANGLE,⏬,\xE2\x8F\xAC,<e2><8f><ac>,0
BLACK HEART SUIT,♥,\xE2\x99\xA5,<e2><99><a5>,0
BLACK LARGE SQUARE,⬛,\xE2\xAC\x9B,<e2><ac><9b>,0
BLACK LEFT-POINTING DOUBLE TRIANGLE,⏪,\xE2\x8F\xAA,<e2><8f><aa>,0
BLACK LEFT-POINTING TRIANGLE,◀,\xE2\x97\x80,<e2><97><80>,0
BLACK MEDIUM SMALL SQUARE,◾,\xE2\x97\xBE,<e2><97><be>,0
BLACK MEDIUM SQUARE,◼,\xE2\x97\xBC,<e2><97><bc>,0
BLACK NIB,✒,\xE2\x9C\x92,<e2><9c><92>,0
BLACK QUESTION MARK ORNAMENT,❓,\xE2\x9D\x93,<e2><9d><93>,0
BLACK RIGHT-POINTING DOUBLE TRIANGLE,⏩,\xE2\x8F\xA9,<e2><8f><a9>,0
BLACK RIGHT-POINTING TRIANGLE,▶,\xE2\x96\xB6,<e2><96><b6>,0
BLACK RIGHTWARDS ARROW,➡,\xE2\x9E\xA1,<e2><9e><a1>,0
BLACK SCISSORS,✂,\xE2\x9C\x82,<e2><9c><82>,0
BLACK SMALL SQUARE,▪,\xE2\x96\xAA,<e2><96><aa>,0
BLACK SPADE SUIT,♠,\xE2\x99\xA0,<e2><99><a0>,0
BLACK SQUARE BUTTON,🔲,\xF0\x9F\x94\xB2,<ed><a0><bd><ed><b4><b2>,0
BLACK SUN WITH RAYS,☀,\xE2\x98\x80,<e2><98><80>,0
BLACK TELEPHONE,☎,\xE2\x98\x8E,<e2><98><8e>,0
BLACK UNIVERSAL RECYCLING SYMBOL,♻,\xE2\x99\xBB,<e2><99><bb>,0
BLACK UP-POINTING DOUBLE TRIANGLE,⏫,\xE2\x8F\xAB,<e2><8f><ab>,0
BLOSSOM,🌼,\xF0\x9F\x8C\xBC,<ed><a0><bc><ed><bc><bc>,0
BLOWFISH,🐡,\xF0\x9F\x90\xA1,<ed><a0><bd><ed><b0><a1>,0
BLUE BOOK,📘,\xF0\x9F\x93\x98,<ed><a0><bd><ed><b3><98>,0
BLUE HEART,💙,\xF0\x9F\x92\x99,<ed><a0><bd><ed><b2><99>,9
BOAR,🐗,\xF0\x9F\x90\x97,<ed><a0><bd><ed><b0><97>,0
BOMB,💣,\xF0\x9F\x92\xA3,<ed><a0><bd><ed><b2><a3>,0
BOOKMARK,🔖,\xF0\x9F\x94\x96,<ed><a0><bd><ed><b4><96>,0
BOOKMARK TABS,📑,\xF0\x9F\x93\x91,<ed><a0><bd><ed><b3><91>,0
BOOKS,📚,\xF0\x9F\x93\x9A,<ed><a0><bd><ed><b3><9a>,0
BOUQUET,💐,\xF0\x9F\x92\x90,<ed><a0><bd><ed><b2><90>,0
BOWLING,🎳,\xF0\x9F\x8E\xB3,<ed><a0><bc><ed><be><b3>,0
BOY,👦,\xF0\x9F\x91\xA6,<ed><a0><bd><ed><b1><a6>,9
BREAD,🍞,\xF0\x9F\x8D\x9E,<ed><a0><bc><ed><bd><9e>,0
BRIDE WITH VEIL,👰,\xF0\x9F\x91\xB0,<ed><a0><bd><ed><b1><b0>,9
BRIDGE AT NIGHT,🌉,\xF0\x9F\x8C\x89,<ed><a0><bc><ed><bc><89>,0
BRIEFCASE,💼,\xF0\x9F\x92\xBC,<ed><a0><bd><ed><b2><bc>,0
BROKEN HEART,💔,\xF0\x9F\x92\x94,<ed><a0><bd><ed><b2><94>,-9
BUG,🐛,\xF0\x9F\x90\x9B,<ed><a0><bd><ed><b0><9b>,0
BUS,🚌,\xF0\x9F\x9A\x8C,<ed><a0><bd><ed><ba><8c>,0
BUS STOP,🚏,\xF0\x9F\x9A\x8F,<ed><a0><bd><ed><ba><8f>,0
BUST IN SILHOUETTE,👤,\xF0\x9F\x91\xA4,<ed><a0><bd><ed><b1><a4>,0
BUSTS IN SILHOUETTE,👥,\xF0\x9F\x91\xA5,<ed><a0><bd><ed><b1><a5>,0
CACTUS,🌵,\xF0\x9F\x8C\xB5,<ed><a0><bc><ed><bc><b5>,0
CALENDAR,📅,\xF0\x9F\x93\x85,<ed><a0><bd><ed><b3><85>,0
CAMERA,📷,\xF0\x9F\x93\xB7,<ed><a0><bd><ed><b3><b7>,0
CANCER,♋,\xE2\x99\x8B,<e2><99><8b>,0
CANDY,🍬,\xF0\x9F\x8D\xAC,<ed><a0><bc><ed><bd><ac>,0
CAPRICORN,♑,\xE2\x99\x91,<e2><99><91>,0
CARD INDEX,📇,\xF0\x9F\x93\x87,<ed><a0><bd><ed><b3><87>,0
CAROUSEL HORSE,🎠,\xF0\x9F\x8E\xA0,<ed><a0><bc><ed><be><a0>,0
CARP STREAMER,🎏,\xF0\x9F\x8E\x8F,<ed><a0><bc><ed><be><8f>,0
CAT,🐈,\xF0\x9F\x90\x88,<ed><a0><bd><ed><b0><88>,0
CAT FACE,🐱,\xF0\x9F\x90\xB1,<ed><a0><bd><ed><b0><b1>,0
CAT FACE WITH TEARS OF JOY,😹,\xF0\x9F\x98\xB9,<ed><a0><bd><ed><b8><b9>,9
CAT FACE WITH WRY SMILE,😼,\xF0\x9F\x98\xBC,<ed><a0><bd><ed><b8><bc>,9
CHART WITH DOWNWARDS TREND,📉,\xF0\x9F\x93\x89,<ed><a0><bd><ed><b3><89>,0
CHART WITH UPWARDS TREND,📈,\xF0\x9F\x93\x88,<ed><a0><bd><ed><b3><88>,0
CHART WITH UPWARDS TREND AND YEN SIGN,💹,\xF0\x9F\x92\xB9,<ed><a0><bd><ed><b2><b9>,0
CHEERING MEGAPHONE,📣,\xF0\x9F\x93\xA3,<ed><a0><bd><ed><b3><a3>,0
CHEQUERED FLAG,🏁,\xF0\x9F\x8F\x81,<ed><a0><bc><ed><bf><81>,0
CHERRIES,🍒,\xF0\x9F\x8D\x92,<ed><a0><bc><ed><bd><92>,0
CHERRY BLOSSOM,🌸,\xF0\x9F\x8C\xB8,<ed><a0><bc><ed><bc><b8>,0
CHESTNUT,🌰,\xF0\x9F\x8C\xB0,<ed><a0><bc><ed><bc><b0>,0
CHICKEN,🐔,\xF0\x9F\x90\x94,<ed><a0><bd><ed><b0><94>,0
CHILDREN CROSSING,🚸,\xF0\x9F\x9A\xB8,<ed><a0><bd><ed><ba><b8>,0
CHOCOLATE BAR,🍫,\xF0\x9F\x8D\xAB,<ed><a0><bc><ed><bd><ab>,0
CHRISTMAS TREE,🎄,\xF0\x9F\x8E\x84,<ed><a0><bc><ed><be><84>,0
CHURCH,⛪,\xE2\x9B\xAA,<e2><9b><aa>,0
CINEMA,🎦,\xF0\x9F\x8E\xA6,<ed><a0><bc><ed><be><a6>,0
CIRCLED IDEOGRAPH ACCEPT,🉑,\xF0\x9F\x89\x91,<ed><a0><bc><ed><b9><91>,0
CIRCLED IDEOGRAPH ADVANTAGE,🉐,\xF0\x9F\x89\x90,<ed><a0><bc><ed><b9><90>,0
CIRCLED IDEOGRAPH CONGRATULATION,㊗,\xE3\x8A\x97,<e3><8a><97>,0
CIRCLED IDEOGRAPH SECRET,㊙,\xE3\x8A\x99,<e3><8a><99>,0
CIRCLED LATIN CAPITAL LETTER M,Ⓜ,\xE2\x93\x82,<e2><93><82>,0
CIRCUS TENT,🎪,\xF0\x9F\x8E\xAA,<ed><a0><bc><ed><be><aa>,0
CITYSCAPE AT DUSK,🌆,\xF0\x9F\x8C\x86,<ed><a0><bc><ed><bc><86>,0
CLAPPER BOARD,🎬,\xF0\x9F\x8E\xAC,<ed><a0><bc><ed><be><ac>,0
CLAPPING HANDS SIGN,👏,\xF0\x9F\x91\x8F,<ed><a0><bd><ed><b1><8f>,9
CLINKING BEER MUGS,🍻,\xF0\x9F\x8D\xBB,<ed><a0><bc><ed><bd><bb>,0
CLIPBOARD,📋,\xF0\x9F\x93\x8B,<ed><a0><bd><ed><b3><8b>,0
CLOCK FACE EIGHT OCLOCK,🕗,\xF0\x9F\x95\x97,<ed><a0><bd><ed><b5><97>,0
CLOCK FACE EIGHT-THIRTY,🕣,\xF0\x9F\x95\xA3,<ed><a0><bd><ed><b5><a3>,0
CLOCK FACE ELEVEN OCLOCK,🕚,\xF0\x9F\x95\x9A,<ed><a0><bd><ed><b5><9a>,0
CLOCK FACE ELEVEN-THIRTY,🕦,\xF0\x9F\x95\xA6,<ed><a0><bd><ed><b5><a6>,0
CLOCK FACE FIVE OCLOCK,🕔,\xF0\x9F\x95\x94,<ed><a0><bd><ed><b5><94>,0
CLOCK FACE FIVE-THIRTY,🕠,\xF0\x9F\x95\xA0,<ed><a0><bd><ed><b5><a0>,0
CLOCK FACE FOUR OCLOCK,🕓,\xF0\x9F\x95\x93,<ed><a0><bd><ed><b5><93>,0
CLOCK FACE FOUR-THIRTY,🕟,\xF0\x9F\x95\x9F,<ed><a0><bd><ed><b5><9f>,0
CLOCK FACE NINE OCLOCK,🕘,\xF0\x9F\x95\x98,<ed><a0><bd><ed><b5><98>,0
CLOCK FACE NINE-THIRTY,🕤,\xF0\x9F\x95\xA4,<ed><a0><bd><ed><b5><a4>,0
CLOCK FACE ONE OCLOCK,🕐,\xF0\x9F\x95\x90,<ed><a0><bd><ed><b5><90>,0
CLOCK FACE ONE-THIRTY,🕜,\xF0\x9F\x95\x9C,<ed><a0><bd><ed><b5><9c>,0
CLOCK FACE SEVEN OCLOCK,🕖,\xF0\x9F\x95\x96,<ed><a0><bd><ed><b5><96>,0
CLOCK FACE SEVEN-THIRTY,🕢,\xF0\x9F\x95\xA2,<ed><a0><bd><ed><b5><a2>,0
CLOCK FACE SIX OCLOCK,🕕,\xF0\x9F\x95\x95,<ed><a0><bd><ed><b5><95>,0
CLOCK FACE SIX-THIRTY,🕡,\xF0\x9F\x95\xA1,<ed><a0><bd><ed><b5><a1>,0
CLOCK FACE TEN OCLOCK,🕙,\xF0\x9F\x95\x99,<ed><a0><bd><ed><b5><99>,0
CLOCK FACE TEN-THIRTY,🕥,\xF0\x9F\x95\xA5,<ed><a0><bd><ed><b5><a5>,0
CLOCK FACE THREE OCLOCK,🕒,\xF0\x9F\x95\x92,<ed><a0><bd><ed><b5><92>,0
CLOCK FACE THREE-THIRTY,🕞,\xF0\x9F\x95\x9E,<ed><a0><bd><ed><b5><9e>,0
CLOCK FACE TWELVE OCLOCK,🕛,\xF0\x9F\x95\x9B,<ed><a0><bd><ed><b5><9b>,0
CLOCK FACE TWELVE-THIRTY,🕧,\xF0\x9F\x95\xA7,<ed><a0><bd><ed><b5><a7>,0
CLOCK FACE TWO OCLOCK,🕑,\xF0\x9F\x95\x91,<ed><a0><bd><ed><b5><91>,0
CLOCK FACE TWO-THIRTY,🕝,\xF0\x9F\x95\x9D,<ed><a0><bd><ed><b5><9d>,0
CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS,🔃,\xF0\x9F\x94\x83,<ed><a0><bd><ed><b4><83>,0
CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS,🔁,\xF0\x9F\x94\x81,<ed><a0><bd><ed><b4><81>,0
CLOCKWISE RIGHTWARDS AND LEFTWARDS OPEN CIRCLE ARROWS WITH CIRCLED ONE OVERLAY,🔂,\xF0\x9F\x94\x82,<ed><a0><bd><ed><b4><82>,0
CLOSED BOOK,📕,\xF0\x9F\x93\x95,<ed><a0><bd><ed><b3><95>,0
CLOSED LOCK WITH KEY,🔐,\xF0\x9F\x94\x90,<ed><a0><bd><ed><b4><90>,0
CLOSED MAILBOX WITH LOWERED FLAG,📪,\xF0\x9F\x93\xAA,<ed><a0><bd><ed><b3><aa>,0
CLOSED MAILBOX WITH RAISED FLAG,📫,\xF0\x9F\x93\xAB,<ed><a0><bd><ed><b3><ab>,0
CLOSED UMBRELLA,🌂,\xF0\x9F\x8C\x82,<ed><a0><bc><ed><bc><82>,0
CLOUD,☁,\xE2\x98\x81,<e2><98><81>,0
COCKTAIL GLASS,🍸,\xF0\x9F\x8D\xB8,<ed><a0><bc><ed><bd><b8>,9
COLLISION SYMBOL,💥,\xF0\x9F\x92\xA5,<ed><a0><bd><ed><b2><a5>,0
CONFETTI BALL,🎊,\xF0\x9F\x8E\x8A,<ed><a0><bc><ed><be><8a>,0
CONFOUNDED FACE,😖,\xF0\x9F\x98\x96,<ed><a0><bd><ed><b8><96>,-9
CONFUSED FACE,😕,\xF0\x9F\x98\x95,<ed><a0><bd><ed><b8><95>,-9
CONSTRUCTION SIGN,🚧,\xF0\x9F\x9A\xA7,<ed><a0><bd><ed><ba><a7>,0
CONSTRUCTION WORKER,👷,\xF0\x9F\x91\xB7,<ed><a0><bd><ed><b1><b7>,0
CONVENIENCE STORE,🏪,\xF0\x9F\x8F\xAA,<ed><a0><bc><ed><bf><aa>,0
COOKED RICE,🍚,\xF0\x9F\x8D\x9A,<ed><a0><bc><ed><bd><9a>,0
COOKIE,🍪,\xF0\x9F\x8D\xAA,<ed><a0><bc><ed><bd><aa>,0
COOKING,🍳,\xF0\x9F\x8D\xB3,<ed><a0><bc><ed><bd><b3>,0
COPYRIGHT SIGN,©,\xC2\xA9,<c2><a9>,0
COUPLE WITH HEART,💑,\xF0\x9F\x92\x91,<ed><a0><bd><ed><b2><91>,9
COW,🐄,\xF0\x9F\x90\x84,<ed><a0><bd><ed><b0><84>,0
COW FACE,🐮,\xF0\x9F\x90\xAE,<ed><a0><bd><ed><b0><ae>,0
CREDIT CARD,💳,\xF0\x9F\x92\xB3,<ed><a0><bd><ed><b2><b3>,0
CRESCENT MOON,🌙,\xF0\x9F\x8C\x99,<ed><a0><bc><ed><bc><99>,0
CROCODILE,🐊,\xF0\x9F\x90\x8A,<ed><a0><bd><ed><b0><8a>,0
CROSS MARK,❌,\xE2\x9D\x8C,<e2><9d><8c>,0
CROSSED FLAGS,🎌,\xF0\x9F\x8E\x8C,<ed><a0><bc><ed><be><8c>,0
CROWN,👑,\xF0\x9F\x91\x91,<ed><a0><bd><ed><b1><91>,0
CRYING CAT FACE,😿,\xF0\x9F\x98\xBF,<ed><a0><bd><ed><b8><bf>,-9
CRYING FACE,😢,\xF0\x9F\x98\xA2,<ed><a0><bd><ed><b8><a2>,-9
CRYSTAL BALL,🔮,\xF0\x9F\x94\xAE,<ed><a0><bd><ed><b4><ae>,0
CURLY LOOP,➰,\xE2\x9E\xB0,<e2><9e><b0>,0
CURRENCY EXCHANGE,💱,\xF0\x9F\x92\xB1,<ed><a0><bd><ed><b2><b1>,0
CURRY AND RICE,🍛,\xF0\x9F\x8D\x9B,<ed><a0><bc><ed><bd><9b>,0
CUSTARD,🍮,\xF0\x9F\x8D\xAE,<ed><a0><bc><ed><bd><ae>,0
CUSTOMS,🛃,\xF0\x9F\x9B\x83,<ed><a0><bd><ed><bb><83>,0
CYCLONE,🌀,\xF0\x9F\x8C\x80,<ed><a0><bc><ed><bc><80>,0
DANCER,💃,\xF0\x9F\x92\x83,<ed><a0><bd><ed><b2><83>,9
DANGO,🍡,\xF0\x9F\x8D\xA1,<ed><a0><bc><ed><bd><a1>,0
DASH SYMBOL,💨,\xF0\x9F\x92\xA8,<ed><a0><bd><ed><b2><a8>,0
DECIDUOUS TREE,🌳,\xF0\x9F\x8C\xB3,<ed><a0><bc><ed><bc><b3>,0
DELIVERY TRUCK,🚚,\xF0\x9F\x9A\x9A,<ed><a0><bd><ed><ba><9a>,0
DEPARTMENT STORE,🏬,\xF0\x9F\x8F\xAC,<ed><a0><bc><ed><bf><ac>,0
DIAMOND SHAPE WITH A DOT INSIDE,💠,\xF0\x9F\x92\xA0,<ed><a0><bd><ed><b2><a0>,0
DIGIT EIGHT + COMBINING ENCLOSING KEYCAP,8⃣,\x38\xE2\x83\xA3,8<e2><83><a3>,0
DIGIT FIVE + COMBINING ENCLOSING KEYCAP,5⃣,\x35\xE2\x83\xA3,5<e2><83><a3>,0
DIGIT FOUR + COMBINING ENCLOSING KEYCAP,4⃣,\x34\xE2\x83\xA3,4<e2><83><a3>,0
