Description,Native,Bytes,R-encoding,score
ROWBOAT,🚣,\xF0\x9F\x9A\xA3,<ed><a0><bd><ed><ba><a3>,0
RUGBY FOOTBALL,🏉,\xF0\x9F\x8F\x89,<ed><a0><bc><ed><bf><89>,0
RUNNER,🏃,\xF0\x9F\x8F\x83,<ed><a0><bc><ed><bf><83>,0
RUNNING SHIRT WITH SASH,🎽,\xF0\x9F\x8E\xBD,<ed><a0><bc><ed><be><bd>,0
SAGITTARIUS,♐,\xE2\x99\x90,<e2><99><90>,0
SAILBOAT,⛵,\xE2\x9B\xB5,<e2><9b><b5>,0
SAKE BOTTLE AND CUP,🍶,\xF0\x9F\x8D\xB6,<ed><a0><bc><ed><bd><b6>,0
SATELLITE ANTENNA,📡,\xF0\x9F\x93\xA1,<ed><a0><bd><ed><b3><a1>,0
SAXOPHONE,🎷,\xF0\x9F\x8E\xB7,<ed><a0><bc><ed><be><b7>,0
SCHOOL,🏫,\xF0\x9F\x8F\xAB,<ed><a0><bc><ed><bf><ab>,0
SCHOOL SATCHEL,🎒,\xF0\x9F\x8E\x92,<ed><a0><bc><ed><be><92>,0
SCORPIUS,♏,\xE2\x99\x8F,<e2><99><8f>,0
SCROLL,📜,\xF0\x9F\x93\x9C,<ed><a0><bd><ed><b3><9c>,0
SEAT,💺,\xF0\x9F\x92\xBA,<ed><a0><bd><ed><b2><ba>,0
SEE-NO-EVIL MONKEY,🙈,\xF0\x9F\x99\x88,<ed><a0><bd><ed><b9><88>,9
SEEDLING,🌱,\xF0\x9F\x8C\xB1,<ed><a0><bc><ed><bc><b1>,0
SHAVED ICE,🍧,\xF0\x9F\x8D\xA7,<ed><a0><bc><ed><bd><a7>,0
SHEEP,🐑,\xF0\x9F\x90\x91,<ed><a0><bd><ed><b0><91>,0
SHIP,🚢,\xF0\x9F\x9A\xA2,<ed><a0><bd><ed><ba><a2>,0
SHOOTING STAR,🌠,\xF0\x9F\x8C\xA0,<ed><a0><bc><ed><bc><a0>,0
SHORTCAKE,🍰,\xF0\x9F\x8D\xB0,<ed><a0><bc><ed><bd><b0>,9
SHOWER,🚿,\xF0\x9F\x9A\xBF,<ed><a0><bd><ed><ba><bf>,0
SILHOUETTE OF JAPAN,🗾,\xF0\x9F\x97\xBE,<ed><a0><bd><ed><b7><be>,0
SIX POINTED STAR WITH MIDDLE DOT,🔯,\xF0\x9F\x94\xAF,<ed><a0><bd><ed><b4><af>,0
SKI AND SKI BOOT,🎿,\xF0\x9F\x8E\xBF,<ed><a0><bc><ed><be><bf>,0
SKULL,💀,\xF0\x9F\x92\x80,<ed><a0><bd><ed><b2><80>,0
SLEEPING FACE,😴,\xF0\x9F\x98\xB4,<ed><a0><bd><ed><b8><b4>,-9
SLEEPING SYMBOL,💤,\xF0\x9F\x92\xA4,<ed><a0><bd><ed><b2><a4>,-9
SLEEPY FACE,😪,\xF0\x9F\x98\xAA,<ed><a0><bd><ed><b8><aa>,-9
SLICE OF PIZZA,🍕,\xF0\x9F\x8D\x95,<ed><a0><bc><ed><bd><95>,0
SLOT MACHINE,🎰,\xF0\x9F\x8E\xB0,<ed><a0><bc><ed><be><b0>,0
SMALL BLUE DIAMOND,🔹,\xF0\x9F\x94\xB9,<ed><a0><bd><ed><b4><b9>,0
SMALL ORANGE DIAMOND,🔸,\xF0\x9F\x94\xB8,<ed><a0><bd><ed><b4><b8>,0
SMILING CAT FACE WITH HEART-SHAPED EYES,😻,\xF0\x9F\x98\xBB,<ed><a0><bd><ed><b8><bb>,9
SMILING CAT FACE WITH OPEN MOUTH,😺,\xF0\x9F\x98\xBA,<ed><a0><bd><ed><b8><ba>,9
SMILING FACE WITH HALO,😇,\xF0\x9F\x98\x87,<ed><a0><bd><ed><b8><87>,9
SMILING FACE WITH HEART-SHAPED EYES,😍,\xF0\x9F\x98\x8D,<ed><a0><bd><ed><b8><8d>,9
SMILING FACE WITH HORNS,😈,\xF0\x9F\x98\x88,<ed><a0><bd><ed><b8><88>,-9
SMILING FACE WITH OPEN MOUTH,😃,\xF0\x9F\x98\x83,<ed><a0><bd><ed><b8><83>,9
SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,😅,\xF0\x9F\x98\x85,<ed><a0><bd><ed><b8><85>,9
SMILING FACE WITH OPEN MOUTH AND SMILING EYES,😄,\xF0\x9F\x98\x84,<ed><a0><bd><ed><b8><84>,9
SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,😆,\xF0\x9F\x98\x86,<ed><a0><bd><ed><b8><86>,9
SMILING FACE WITH SMILING EYES,😊,\xF0\x9F\x98\x8A,<ed><a0><bd><ed><b8><8a>,9
SMILING FACE WITH SUNGLASSES,😎,\xF0\x9F\x98\x8E,<ed><a0><bd><ed><b8><8e>,9
SMIRKING FACE,😏,\xF0\x9F\x98\x8F,<ed><a0><bd><ed><b8><8f>,9
SMOKING SYMBOL,🚬,\xF0\x9F\x9A\xAC,<ed><a0><bd><ed><ba><ac>,-9
SNAIL,🐌,\xF0\x9F\x90\x8C,<ed><a0><bd><ed><b0><8c>,0
SNAKE,🐍,\xF0\x9F\x90\x8D,<ed><a0><bd><ed><b0><8d>,0
SNOWBOARDER,🏂,\xF0\x9F\x8F\x82,<ed><a0><bc><ed><bf><82>,0
SNOWFLAKE,❄,\xE2\x9D\x84,<e2><9d><84>,0
SNOWMAN WITHOUT SNOW,⛄,\xE2\x9B\x84,<e2><9b><84>,0
SOCCER BALL,⚽,\xE2\x9A\xBD,<e2><9a><bd>,0
SOFT ICE CREAM,🍦,\xF0\x9F\x8D\xA6,<ed><a0><bc><ed><bd><a6>,0
SOON WITH RIGHTWARDS ARROW ABOVE,🔜,\xF0\x9F\x94\x9C,<ed><a0><bd><ed><b4><9c>,0
SOUTH EAST ARROW,↘,\xE2\x86\x98,<e2><86><98>,0
SOUTH WEST ARROW,↙,\xE2\x86\x99,<e2><86><99>,0
SPAGHETTI,🍝,\xF0\x9F\x8D\x9D,<ed><a0><bc><ed><bd><9d>,0
SPARKLE,❇,\xE2\x9D\x87,<e2><9d><87>,0
SPARKLES,✨,\xE2\x9C\xA8,<e2><9c><a8>,9
SPARKLING HEART,💖,\xF0\x9F\x92\x96,<ed><a0><bd><ed><b2><96>,9
SPEAK-NO-EVIL MONKEY,🙊,\xF0\x9F\x99\x8A,<ed><a0><bd><ed><b9><8a>,0
SPEAKER WITH CANCELLATION STROKE,🔇,\xF0\x9F\x94\x87,<ed><a0><bd><ed><b4><87>,0
SPEAKER WITH ONE SOUND WAVE,🔉,\xF0\x9F\x94\x89,<ed><a0><bd><ed><b4><89>,0
SPEAKER WITH THREE SOUND WAVES,🔊,\xF0\x9F\x94\x8A,<ed><a0><bd><ed><b4><8a>,0
SPEECH BALLOON,💬,\xF0\x9F\x92\xAC,<ed><a0><bd><ed><b2><ac>,0
SPEEDBOAT,🚤,\xF0\x9F\x9A\xA4,<ed><a0><bd><ed><ba><a4>,0
SPIRAL SHELL,🐚,\xF0\x9F\x90\x9A,<ed><a0><bd><ed><b0><9a>,0
SPLASHING SWEAT SYMBOL,💦,\xF0\x9F\x92\xA6,<ed><a0><bd><ed><b2><a6>,0
SPOUTING WHALE,🐳,\xF0\x9F\x90\xB3,<ed><a0><bd><ed><b0><b3>,0
SQUARED CJK UNIFIED IDEOGRAPH-5272,🈹,\xF0\x9F\x88\xB9,<ed><a0><bc><ed><b8><b9>,0
SQUARED CJK UNIFIED IDEOGRAPH-5408,🈴,\xF0\x9F\x88\xB4,<ed><a0><bc><ed><b8><b4>,0
SQUARED CJK UNIFIED IDEOGRAPH-55B6,🈺,\xF0\x9F\x88\xBA,<ed><a0><bc><ed><b8><ba>,0
SQUARED CJK UNIFIED IDEOGRAPH-6307,🈯,\xF0\x9F\x88\xAF,<ed><a0><bc><ed><b8><af>,0
SQUARED CJK UNIFIED IDEOGRAPH-6708,🈷,\xF0\x9F\x88\xB7,<ed><a0><bc><ed><b8><b7>,0
SQUARED CJK UNIFIED IDEOGRAPH-6709,🈶,\xF0\x9F\x88\xB6,<ed><a0><bc><ed><b8><b6>,0
SQUARED CJK UNIFIED IDEOGRAPH-6E80,🈵,\xF0\x9F\x88\xB5,<ed><a0><bc><ed><b8><b5>,0
SQUARED CJK UNIFIED IDEOGRAPH-7121,🈚,\xF0\x9F\x88\x9A,<ed><a0><bc><ed><b8><9a>,0
SQUARED CJK UNIFIED IDEOGRAPH-7533,🈸,\xF0\x9F\x88\xB8,<ed><a0><bc><ed><b8><b8>,0
SQUARED CJK UNIFIED IDEOGRAPH-7981,🈲,\xF0\x9F\x88\xB2,<ed><a0><bc><ed><b8><b2>,0
SQUARED CJK UNIFIED IDEOGRAPH-7A7A,🈳,\xF0\x9F\x88\xB3,<ed><a0><bc><ed><b8><b3>,0
SQUARED CL,🆑,\xF0\x9F\x86\x91,<ed><a0><bc><ed><b6><91>,0
SQUARED COOL,🆒,\xF0\x9F\x86\x92,<ed><a0><bc><ed><b6><92>,0
SQUARED FREE,🆓,\xF0\x9F\x86\x93,<ed><a0><bc><ed><b6><93>,0
SQUARED ID,🆔,\xF0\x9F\x86\x94,<ed><a0><bc><ed><b6><94>,0
SQUARED KATAKANA KOKO,🈁,\xF0\x9F\x88\x81,<ed><a0><bc><ed><b8><81>,0
SQUARED KATAKANA SA,🈂,\xF0\x9F\x88\x82,<ed><a0><bc><ed><b8><82>,0
SQUARED NEW,🆕,\xF0\x9F\x86\x95,<ed><a0><bc><ed><b6><95>,0
SQUARED NG,🆖,\xF0\x9F\x86\x96,<ed><a0><bc><ed><b6><96>,0
SQUARED OK,🆗,\xF0\x9F\x86\x97,<ed><a0><bc><ed><b6><97>,0
SQUARED SOS,🆘,\xF0\x9F\x86\x98,<ed><a0><bc><ed><b6><98>,0
SQUARED UP WITH EXCLAMATION MARK,🆙,\xF0\x9F\x86\x99,<ed><a0><bc><ed><b6><99>,0
SQUARED VS,🆚,\xF0\x9F\x86\x9A,<ed><a0><bc><ed><b6><9a>,0
STATION,🚉,\xF0\x9F\x9A\x89,<ed><a0><bd><ed><ba><89>,0
STATUE OF LIBERTY,🗽,\xF0\x9F\x97\xBD,<ed><a0><bd><ed><b7><bd>,0
STEAM LOCOMOTIVE,🚂,\xF0\x9F\x9A\x82,<ed><a0><bd><ed><ba><82>,0
STEAMING BOWL,🍜,\xF0\x9F\x8D\x9C,<ed><a0><bc><ed><bd><9c>,0
STRAIGHT RULER,📏,\xF0\x9F\x93\x8F,<ed><a0><bd><ed><b3><8f>,0
STRAWBERRY,🍓,\xF0\x9F\x8D\x93,<ed><a0><bc><ed><bd><93>,0
SUN BEHIND CLOUD,⛅,\xE2\x9B\x85,<e2><9b><85>,0
SUN WITH FACE,🌞,\xF0\x9F\x8C\x9E,<ed><a0><bc><ed><bc><9e>,9
SUNFLOWER,🌻,\xF0\x9F\x8C\xBB,<ed><a0><bc><ed><bc><bb>,0
SUNRISE,🌅,\xF0\x9F\x8C\x85,<ed><a0><bc><ed><bc><85>,0
SUNRISE OVER MOUNTAINS,🌄,\xF0\x9F\x8C\x84,<ed><a0><bc><ed><bc><84>,0
SUNSET OVER BUILDINGS,🌇,\xF0\x9F\x8C\x87,<ed><a0><bc><ed><bc><87>,0
SURFER,🏄,\xF0\x9F\x8F\x84,<ed><a0><bc><ed><bf><84>,0
SUSHI,🍣,\xF0\x9F\x8D\xA3,<ed><a0><bc><ed><bd><a3>,0
SUSPENSION RAILWAY,🚟,\xF0\x9F\x9A\x9F,<ed><a0><bd><ed><ba><9f>,0
SWIMMER,🏊,\xF0\x9F\x8F\x8A,<ed><a0><bc><ed><bf><8a>,0
SYRINGE,💉,\xF0\x9F\x92\x89,<ed><a0><bd><ed><b2><89>,-9
T-SHIRT,👕,\xF0\x9F\x91\x95,<ed><a0><bd><ed><b1><95>,0
TANABATA TREE,🎋,\xF0\x9F\x8E\x8B,<ed><a0><bc><ed><be><8b>,0
TANGERINE,🍊,\xF0\x9F\x8D\x8A,<ed><a0><bc><ed><bd><8a>,0
TAURUS,♉,\xE2\x99\x89,<e2><99><89>,0
TAXI,🚕,\xF0\x9F\x9A\x95,<ed><a0><bd><ed><ba><95>,0
TEACUP WITHOUT HANDLE,🍵,\xF0\x9F\x8D\xB5,<ed><a0><bc><ed><bd><b5>,0
TEAR-OFF CALENDAR,📆,\xF0\x9F\x93\x86,<ed><a0><bd><ed><b3><86>,0
TELEPHONE RECEIVER,📞,\xF0\x9F\x93\x9E,<ed><a0><bd><ed><b3><9e>,0
TELESCOPE,🔭,\xF0\x9F\x94\xAD,<ed><a0><bd><ed><b4><ad>,0
TELEVISION,📺,\xF0\x9F\x93\xBA,<ed><a0><bd><ed><b3><ba>,0
TENNIS RACQUET AND BALL,🎾,\xF0\x9F\x8E\xBE,<ed><a0><bc><ed><be><be>,0
TENT,⛺,\xE2\x9B\xBA,<e2><9b><ba>,0
THOUGHT BALLOON,💭,\xF0\x9F\x92\xAD,<ed><a0><bd><ed><b2><ad>,0
THUMBS DOWN SIGN,👎,\xF0\x9F\x91\x8E,<ed><a0><bd><ed><b1><8e>,-9
THUMBS UP SIGN,👍,\xF0\x9F\x91\x8D,<ed><a0><bd><ed><b1><8d>,9
TICKET,🎫,\xF0\x9F\x8E\xAB,<ed><a0><bc><ed><be><ab>,0
TIGER,🐅,\xF0\x9F\x90\x85,<ed><a0><bd><ed><b0><85>,0
TIGER FACE,🐯,\xF0\x9F\x90\xAF,<ed><a0><bd><ed><b0><af>,0
TIRED FACE,😫,\xF0\x9F\x98\xAB,<ed><a0><bd><ed><b8><ab>,-9
TOILET,🚽,\xF0\x9F\x9A\xBD,<ed><a0><bd><ed><ba><bd>,0
TOKYO TOWER,🗼,\xF0\x9F\x97\xBC,<ed><a0><bd><ed><b7><bc>,0
TOMATO,🍅,\xF0\x9F\x8D\x85,<ed><a0><bc><ed><bd><85>,0
TONGUE,👅,\xF0\x9F\x91\x85,<ed><a0><bd><ed><b1><85>,9
TOP HAT,🎩,\xF0\x9F\x8E\xA9,<ed><a0><bc><ed><be><a9>,0
TOP WITH UPWARDS ARROW ABOVE,🔝,\xF0\x9F\x94\x9D,<ed><a0><bd><ed><b4><9d>,0
TRACTOR,🚜,\xF0\x9F\x9A\x9C,<ed><a0><bd><ed><ba><9c>,0
TRADE MARK SIGN,™,\xE2\x84\xA2,<e2><84><a2>,0
TRAIN,🚆,\xF0\x9F\x9A\x86,<ed><a0><bd><ed><ba><86>,0
TRAM,🚊,\xF0\x9F\x9A\x8A,<ed><a0><bd><ed><ba><8a>,0
TRIANGULAR FLAG ON POST,🚩,\xF0\x9F\x9A\xA9,<ed><a0><bd><ed><ba><a9>,0
TRIANGULAR RULER,📐,\xF0\x9F\x93\x90,<ed><a0><bd><ed><b3><90>,0
TRIDENT EMBLEM,🔱,\xF0\x9F\x94\xB1,<ed><a0><bd><ed><b4><b1>,0
TROLLEYBUS,🚎,\xF0\x9F\x9A\x8E,<ed><a0><bd><ed><ba><8e>,0
TROPHY,🏆,\xF0\x9F\x8F\x86,<ed><a0><bc><ed><bf><86>,0
TROPICAL DRINK,🍹,\xF0\x9F\x8D\xB9,<ed><a0><bc><ed><bd><b9>,0
TROPICAL FISH,🐠,\xF0\x9F\x90\xA0,<ed><a0><bd><ed><b0><a0>,0
TRUMPET,🎺,\xF0\x9F\x8E\xBA,<ed><a0><bc><ed><be><ba>,0
TULIP,🌷,\xF0\x9F\x8C\xB7,<ed><a0><bc><ed><bc><b7>,0
TURTLE,🐢,\xF0\x9F\x90\xA2,<ed><a0><bd><ed><b0><a2>,0
TWISTED RIGHTWARDS ARROWS,🔀,\xF0\x9F\x94\x80,<ed><a0><bd><ed><b4><80>,0
TWO HEARTS,💕,\xF0\x9F\x92\x95,<ed><a0><bd><ed><b2><95>,9
TWO MEN HOLDING HANDS,👬,\xF0\x9F\x91\xAC,<ed><a0><bd><ed><b1><ac>,9
TWO WOMEN HOLDING HANDS,👭,\xF0\x9F\x91\xAD,<ed><a0><bd><ed><b1><ad>,9
UMBRELLA WITH RAIN DROPS,☔,\xE2\x98\x94,<e2><98><94>,0
UNAMUSED FACE,😒,\xF0\x9F\x98\x92,<ed><a0><bd><ed><b8><92>,-9
UP DOWN ARROW,↕,\xE2\x86\x95,<e2><86><95>,0
UP-POINTING RED TRIANGLE,🔺,\xF0\x9F\x94\xBA,<ed><a0><bd><ed><b4><ba>,0
UP-POINTING SMALL RED TRIANGLE,🔼,\xF0\x9F\x94\xBC,<ed><a0><bd><ed><b4><bc>,0
UPWARDS BLACK ARROW,⬆,\xE2\xAC\x86,<e2><ac><86>,0
VERTICAL TRAFFIC LIGHT,🚦,\xF0\x9F\x9A\xA6,<ed><a0><bd><ed><ba><a6>,0
VIBRATION MODE,📳,\xF0\x9F\x93\xB3,<ed><a0><bd><ed><b3><b3>,0
VICTORY HAND,✌,\xE2\x9C\x8C,<e2><9c><8c>,9
VIDEO CAMERA,📹,\xF0\x9F\x93\xB9,<ed><a0><bd><ed><b3><b9>,0
VIDEO GAME,🎮,\xF0\x9F\x8E\xAE,<ed><a0><bc><ed><be><ae>,0
VIDEOCASSETTE,📼,\xF0\x9F\x93\xBC,<ed><a0><bd><ed><b3><bc>,0
VIOLIN,🎻,\xF0\x9F\x8E\xBB,<ed><a0><bc><ed><be><bb>,0
VIRGO,♍,\xE2\x99\x8D,<e2><99><8d>,0
VOLCANO,🌋,\xF0\x9F\x8C\x8B,<ed><a0><bc><ed><bc><8b>,0
WANING CRESCENT MOON SYMBOL,🌘,\xF0\x9F\x8C\x98,<ed><a0><bc><ed><bc><98>,0
WANING GIBBOUS MOON SYMBOL,🌖,\xF0\x9F\x8C\x96,<ed><a0><bc><ed><bc><96>,0
WARNING SIGN,⚠,\xE2\x9A\xA0,<e2><9a><a0>,0
WATCH,⌚,\xE2\x8C\x9A,<e2><8c><9a>,0
WATER BUFFALO,🐃,\xF0\x9F\x90\x83,<ed><a0><bd><ed><b0><83>,0
WATER CLOSET,🚾,\xF0\x9F\x9A\xBE,<ed><a0><bd><ed><ba><be>,0
WATER WAVE,🌊,\xF0\x9F\x8C\x8A,<ed><a0><bc><ed><bc><8a>,0
WATERMELON,🍉,\xF0\x9F\x8D\x89,<ed><a0><bc><ed><bd><89>,0
WAVING HAND SIGN,👋,\xF0\x9F\x91\x8B,<ed><a0><bd><ed><b1><8b>,9
WAVY DASH,〰,\xE3\x80\xB0,<e3><80><b0>,0
WAXING CRESCENT MOON SYMBOL,🌒,\xF0\x9F\x8C\x92,<ed><a0><bc><ed><bc><92>,0
WAXING GIBBOUS MOON SYMBOL,🌔,\xF0\x9F\x8C\x94,<ed><a0><bc><ed><bc><94>,0
WEARY CAT FACE,🙀,\xF0\x9F\x99\x80,<ed><a0><bd><ed><b9><80>,-9
WEARY FACE,😩,\xF0\x9F\x98\xA9,<ed><a0><bd><ed><b8><a9>,-9
WEDDING,💒,\xF0\x9F\x92\x92,<ed><a0><bd><ed><b2><92>,0
WHALE,🐋,\xF0\x9F\x90\x8B,<ed><a0><bd><ed><b0><8b>,0
WHEELCHAIR SYMBOL,♿,\xE2\x99\xBF,<e2><99><bf>,0
WHITE DOWN POINTING BACKHAND INDEX,👇,\xF0\x9F\x91\x87,<ed><a0><bd><ed><b1><87>,0
WHITE EXCLAMATION MARK ORNAMENT,❕,\xE2\x9D\x95,<e2><9d><95>,0
WHITE FLOWER,💮,\xF0\x9F\x92\xAE,<ed><a0><bd><ed><b2><ae>,0
WHITE HEAVY CHECK MARK,✅,\xE2\x9C\x85,<e2><9c><85>,0
WHITE LARGE SQUARE,⬜,\xE2\xAC\x9C,<e2><ac><9c>,0
WHITE LEFT POINTING BACKHAND INDEX,👈,\xF0\x9F\x91\x88,<ed><a0><bd><ed><b1><88>,0
WHITE MEDIUM SMALL SQUARE,◽,\xE2\x97\xBD,<e2><97><bd>,0
WHITE MEDIUM SQUARE,◻,\xE2\x97\xBB,<e2><97><bb>,0
WHITE MEDIUM STAR,⭐,\xE2\xAD\x90,<e2><ad><90>,9
WHITE QUESTION MARK ORNAMENT,❔,\xE2\x9D\x94,<e2><9d><94>,0
WHITE RIGHT POINTING BACKHAND INDEX,👉,\xF0\x9F\x91\x89,<ed><a0><bd><ed><b1><89>,0
WHITE SMALL SQUARE,▫,\xE2\x96\xAB,<e2><96><ab>,0
WHITE SMILING FACE,☺,\xE2\x98\xBA,<e2><98><ba>,9
WHITE SQUARE BUTTON,🔳,\xF0\x9F\x94\xB3,<ed><a0><bd><ed><b4><b3>,0
WHITE UP POINTING BACKHAND INDEX,👆,\xF0\x9F\x91\x86,<ed><a0><bd><ed><b1><86>,0
WHITE UP POINTING INDEX,☝,\xE2\x98\x9D,<e2><98><9d>,9
WIND CHIME,🎐,\xF0\x9F\x8E\x90,<ed><a0><bc><ed><be><90>,0
WINE GLASS,🍷,\xF0\x9F\x8D\xB7,<ed><a0><bc><ed><bd><b7>,9
WINKING FACE,😉,\xF0\x9F\x98\x89,<ed><a0><bd><ed><b8><89>,9
WOLF FACE,🐺,\xF0\x9F\x90\xBA,<ed><a0><bd><ed><b0><ba>,0
WOMAN,👩,\xF0\x9F\x91\xA9,<ed><a0><bd><ed><b1><a9>,9
WOMAN WITH BUNNY EARS,👯,\xF0\x9F\x91\xAF,<ed><a0><bd><ed><b1><af>,9
WOMANS BOOTS,👢,\xF0\x9F\x91\xA2,<ed><a0><bd><ed><b1><a2>,0
WOMANS CLOTHES,👚,\xF0\x9F\x91\x9A,<ed><a0><bd><ed><b1><9a>,0
WOMANS HAT,👒,\xF0\x9F\x91\x92,<ed><a0><bd><ed><b1><92>,0
WOMANS SANDAL,👡,\xF0\x9F\x91\xA1,<ed><a0><bd><ed><b1><a1>,0
WOMENS SYMBOL,🚺,\xF0\x9F\x9A\xBA,<ed><a0><bd><ed><ba><ba>,0
WORRIED FACE,😟,\xF0\x9F\x98\x9F,<ed><a0><bd><ed><b8><9f>,-9
WRAPPED PRESENT,🎁,\xF0\x9F\x8E\x81,<ed><a0><bc><ed><be><81>,0
WRENCH,🔧,\xF0\x9F\x94\xA7,<ed><a0><bd><ed><b4><a7>,0
YELLOW HEART,💛,\xF0\x9F\x92\x9B,<ed><a0><bd><ed><b2><9b>,9